"Schedule (Fall 2026)
04/06,Jingwu Tang,Dimension-free decision calibration for nonlinear loss functions,"When model predictions inform downstream decision making, a natural question is under what conditions can the decision-makers simply respond to the predictions as if they were the true outcomes. Calibration suffices to guarantee that simple best-response to predictions is optimal. However, calibration for high-dimensional prediction outcome spaces requires exponential computational and statistical complexity. The recent relaxation known as decision calibration ensures the optimality of the simple best-response rule while requiring only polynomial sample complexity in the dimension of outcomes. However, known results on calibration and decision calibration crucially rely on linear loss functions for establishing best-response optimality. A natural approach to handle nonlinear losses is to map outcomes y into a feature space ϕ(y) of dimension m, then approximate losses with linear functions of ϕ(y). Unfortunately, even simple classes of nonlinear functions can demand exponentially large or infinite feature dimensions m. A key open problem is whether it is possible to achieve decision calibration with sample complexity independent of~m. We begin with a negative result: even verifying decision calibration under standard deterministic best response inherently requires sample complexity polynomial in~m. Motivated by this lower bound, we investigate a smooth version of decision calibration in which decision-makers follow a smooth best-response. This smooth relaxation enables dimension-free decision calibration algorithms. We introduce algorithms that, given poly(|A|,1/ϵ) samples and any initial predictor~p, can efficiently post-process it to satisfy decision calibration without worsening accuracy. Our algorithms apply broadly to function classes that can be well-approximated by bounded-norm functions in (possibly infinite-dimensional) separable RKHS.",
04/13,Tomas Gonzalez,Theoretical guarantees for Private Evolution,"Private Evolution (PE) is a training-free method for differentially private synthetic data generation that has shown strong empirical performance, but until recently lacked theoretical guarantees. In this talk, I will present the main result of Private Evolution Converges (https://arxiv.org/pdf/2506.08312), which proves that PE can generate an (ε,δ)-differentially private synthetic dataset with expected 1-Wasserstein distance of order (d/(nε))^(1/d) to the sensitive data. This gives the first convergence guarantee for PE and places this practical method on a firmer theoretical foundation. I will also discuss extensions of this paper that I'm currently working on. ",
04/20,,,,
,,,,
,,,,
,,,,
"Schedule (Fall 2025)

Time & location: NSH 3305 2-3:30pm (except where noted below)",,,,
Date,Speaker,Title,Abstract,
09/03,Sanjit Dandapanthula,Gromov-Wasserstein geometry of Gaussian measures,"We give a gentle introduction to optimal transport theory and Gromov-Wasserstein distances, as well as some of their statistical applications. At the end, we discuss some of our recent progress in this area, described below.

The Gromov-Wasserstein distance with inner product cost (IGW distance) quantifies the discrepancy between Borel probability measures on (possibly different) Euclidean spaces which have finite second moment. The IGW distance provides a natural framework for comparing the shapes of heterogeneous datasets, although its exact computation is generally NP-hard. Previous work has studied the metric geometry arising from the IGW distance, but it is generally statistically and computationally difficult to estimate the IGW distance and barycenter from samples. In this work, we rewrite the IGW distance between uncentered Gaussian measures on separable Hilbert spaces as the solution of a quadratic optimization problem on the Stiefel manifold, which we solve numerically in simulations. Moreover, we prove upper and lower bounds on the IGW distance between Gaussians (up to a Cauchy-Schwarz gap), and for centered Gaussians, we recover a natural closed-form expression for the IGW distance and barycenter. Furthermore, we analytically resolve the multi-marginal IGW problem between Gaussians. As an extension, we rewrite the multi-marginal optimal transport problem between Gaussians as the optimal value of a semidefinite program and solve it efficiently using a rank-deficiency constraint. Finally, we apply our results to synthetic experiments, including clustering heterogeneous user profiles.

Collaborators: Sasha Podkopaev, Shiva Kasiviswanathan, Aaditya Ramdas, and Ziv Goldfeld",
9/10,Ziqi Liu,Group Data Valuation,"Data Shapley is an important tool for data valuation, which quantifies the contribution of individual data points to machine learning models. In practice, group-level data valuation is desirable when data providers contribute data in batch. However, we identify that existing group-level extensions of Data Shapley are vulnerable to shell company attacks, where strategic group splitting can unfairly inflate valuations. We propose Faithful Group Shapley Value (FGSV) that uniquely defends against such attacks. Building on original mathematical insights, we develop a provably fast and accurate approximation algorithm for computing FGSV. This is the joint work with Kiljae Lee, Weijing Tang, and Yuan Zhang.",
9/17,Cancelled,,,
9/24/2025 (ICLR),Selina,Conformal PID Control for Time Series Prediction,"The paper studies the problem of uncertainty quantification for time series prediction, with the goal of providing easy-to-use algorithms with formal guarantees. The algorithms we present build upon ideas from conformal prediction and control theory, are able to prospectively model conformal scores in an online setting, and adapt to the presence of systematic errors due to seasonality, trends, and general distribution shifts. This theory both simplifies and strengthens existing analyses in online conformal prediction.",
10/1,Ben Chugg,A variational approach to concentration,,
10/8/2025 (Gates 4405),Steven Wu,Calibration and Hallucination,"Like students facing hard exam questions, large language models sometimes guess when uncertain, producing plausible yet incorrect statements instead of admitting uncertainty. Such “hallucinations” persist even in state-of-the-art systems and undermine trust. We argue that language models hallucinate because the training and evaluation procedures reward guessing over acknowledging uncertainty, and we analyze the statistical causes of hallucinations in the modern training pipeline. Hallucinations need not be mysterious—they originate simply as errors in binary classification. If incorrect statements cannot be distinguished from facts, then hallucinations in pretrained language models will arise through natural statistical pressures. We then argue that hallucinations persist due to the way most evaluations are graded—language models are optimized to be good test-takers, and guessing when uncertain improves test performance. This “epidemic” of penalizing uncertain responses can only be addressed through a socio-technical mitigation: modifying the scoring of existing benchmarks that are misaligned but dominate leaderboards, rather than introducing additional hallucination evaluations. This change may steer the field toward more trustworthy AI systems. https://arxiv.org/pdf/2509.04664",
10/15,Fall break,,,
10/22,Diego Martinez Taboada,TBD,,
10/29,Burak Varıcı,Score-based Causal Representation Learning,"Representation learning has shown great success at learning low-dimensional, empirically useful representations of high-dimensional data in an unsupervised manner. Despite this success, standard approaches are limited to association-level insights and are inadequate for strong generalization. As a key step toward more principled representation learning, causal representation learning (CRL) has emerged as a cutting-edge field that merges the strengths of statistical inference, machine learning, and causal inference. Its objective is to estimate the ground truth, identifiable latent representations and rich structures that model the interactions among the variables in the latent space.

In this talk, we will mainly show how to learn causal representations from unstructured, high-dimensional data observed under multiple (interventional) environments. To that end, we establish connections between score functions and CRL. First, we address CRL in the nonparametric setting under relatively rich interventional information. Then, we consider a linear transformation from latent to observed variables, discussing crucial aspects for algorithm design including intervention types (perfect vs. imperfect), intervention size (single vs. multi-node), and sample complexity guarantees. https://www.jmlr.org/papers/volume26/24-0194/24-0194.pdf ",
11/5,Nihar Shah,Research funding via lotteries,"We will consider decision-making processes that involve evaluating and then selecting items (e.g., scientific peer review, hiring, admissions). Traditionally, the eventual selection is performed by first obtaining expert evaluations, followed by rules or deliberations, and eventually deterministically selecting a subset of applications. More recently, citing drawbacks of the traditional approach, a number of funding agencies worldwide have moved towards a different decision model. These agencies have incorporated “partial lotteries” into their decision-making: the review process remains similar to that of the traditional process (sometimes omitting deliberations), but the final decisions introduce a randomized component that still respects experts’ evaluations. We will first identify several problems in current implementations of such partial lotteries. We will then present a principled approach to designing improved partial lotteries with strong theoretical guarantees and empirical performance. Based on joint work with Alexander Goldberg and Giulia Fanti. Blog post: https://researchonresearch.blog/2025/07/12/randomizing-selection-under-uncertainty-designing-principled-partial-lotteries-for-grant-funding-and-beyond/",
11/12,Rebecca Farina,Automatic Debiased Machine Learning,"We will discuss the foundational ideas behind Automatic Debiased Machine Learning (AutoDML), a framework to costruct of efficient estimators for causal and semiparametric parameters. Standard machine learning methods often yield biased estimates of causal quantities in high-dimensional settings, while traditional debiasing techniques rely on the Efficient Influence Function (EIF), which can be challenging to derive and may involve unstable components such as inverse probability weights. AutoDML provides a principled alternative: it builds double-robust, root-n consistent estimators without requiring an explicit EIF expression. Instead, it leverages the Riesz representation theorem to directly learn the EIF’s key component by minimizing a Riesz loss function, offering an “automatic” and stable approach to debiased estimation that unifies ideas from semiparametric theory and modern machine learning.",
11/19,Ramya Vinayak (UW Madison),Sample-Efficient Personalized Reward Models for Pluralistic Alignment,"Large pre-trained models trained on internet-scale data are often not ready for deployment out-of-the-box. They are heavily fine-tuned and aligned using large quantities of human preference data, usually elicited using pairwise comparisons. While aligning an AI/ML model to human preferences or values, it is important to ask whose preference and values we are aligning it to? The prominent approaches of preference alignment are severely limited due to inherent assumption of uniformity by the preference models. We aim to overcome this limitation by building mathematical foundations for learning heterogeneous human preferences. In this talk, I will present PAL, a personalize-able reward modelling framework for pluralistic alignment. PAL has modular design that leverages commonalities across users while catering to individual personalization, enabling efficient few-shot generalization. PAL is versatile to be applied to various domains and matches or outperforms state-of-the-art methods on both text-to-text and text-to-image tasks with 100x fewer parameters in practice. I will also present theoretical results on per user sample complexity for generalization and fundamental limitations when there are limited pairwise comparisons.",
11/26,Thanksgiving,,,
12/3,James Leiner,Advances in selective inference,"During this talk, I will briefly discuss some modern methods for ensuring valid inference after model selection including: data splitting, data fission, simultanaeous inference, and conditional selective inference. I will then discuss some  recent work that comment on the relative efficiency of each of these frameworks. 

Recent papers:
Infer-and-widen, or not? (https://arxiv.org/abs/2408.06323)
On Selecting and Conditioning in Multiple Testing and Selective Inference (https://arxiv.org/abs/2207.13480)

Background papers:
https://arxiv.org/abs/2112.11079
https://arxiv.org/abs/1611.05401
https://arxiv.org/abs/1306.1059
https://arxiv.org/abs/1311.6238
",
,,,,
,,,,
"Schedule (Fall 2024)

Tuesdays at 3:30–5:00PM in GHC 6501 unless otherwise noted (NSH 4305 on 9/5 and 10/11 only)",,,,@dropdown
Date,Speaker,Paper title,Abstract,
9/5 (Thursday) - NSH 4305 ,Guang Chen (UCLA),Some Recent Works in Generative Data Science.,"This talk starts from a vision of establishing a field of ""Generative Data Science,"" which aims to elucidates the underlying principles behind generative AI. This vision is supported by the recent observation that ""creating something out of nothing"" is possible and beneficial through synthetic data generation. The rest of talks focus on the initial steps towards this goal by showcasing our recent progresses in measuring fidelity (of generated image data), watermarking (on generated tabular data) and privacy auditing (of synthetic data).

Bio: Guang Cheng is a Professor of Statistics and Data Science at UCLA, and leads the Trustworthy AI Lab (https://www.stat.ucla.edu/~guangcheng/). He received his BA in Economics from Tsinghua University in 2002, and PhD in Statistics from University of Wisconsin-Madison in 2006. His research interests include generative data science, deep learning theory and statistical machine learning. Cheng is an Institute of Mathematical Statistics Fellow, Simons Fellow in Mathematics, NSF CAREER awardee and was also a member in the Institute for Advanced Study, Princeton.

",
9/10,Yandi Shen,An introduction to the approximate message passing algorithm,"Approximate message passing is a powerful machinery that has found a wide array of applications in areas like high dimensional statistics, signal processing, machine learning, etc. We will give a gentle introduction to this topic starting with some motivation in statistical estimation, followed by some basic analysis of the algorithm. We will also briefly review some recent progress in the literature and discuss some potential future problems of the topic.",
9/17,James Leiner,Demystifying Inference after Adaptive Experiments,"Adaptive experiments such as multi-arm bandits adapt the treatment-allocation policy and/or the decision to stop the experiment to the data observed so far. This has the potential to improve outcomes for study participants within the experiment, to improve the chance of identifying best treatments after the experiment, and to avoid wasting data. Seen as an experiment (rather than just a continually optimizing system) it is still desirable to draw statistical inferences with frequentist guarantees. The concentration inequalities and union bounds that generally underlie adaptive experimentation algorithms can yield overly conservative inferences, but at the same time the asymptotic normality we would usually appeal to in non-adaptive settings can be imperiled by adaptivity. In this article we aim to explain why, how, and when adaptivity is in fact an issue for inference and, when it is, understand the various ways to fix it: reweighting to stabilize variances and recover asymptotic normality, always-valid inference based on joint normality of an asymptotic limiting sequence, and characterizing and inverting the non-normal distributions induced by adaptivity.",
9/24,Selina Carter,"""Online Bootstrap Confidence Intervals for the Stochastic Gradient Descent Estimator""","Motivated by work with Jeff Schneider (Robotics Insitute), I will first give a basic intro to bootstrapping -- can it be done anytime anywhere? What's the use?


Then, I'll discuss the paper by Yixin Fang, Jinfeng Xu, Lei Yang.
Abstract:
""In many applications involving large dataset or online learning, stochastic gradient descent (SGD) is a scalable algorithm to compute parameter estimates and has gained increasing popularity due to its numerical convenience and memory efficiency. While the asymptotic properties of SGD-based estimators have been well established, statistical inference such as interval estimation remains much unexplored. The classical bootstrap is not directly applicable if the data are not stored in memory. The plug-in method is not applicable when there is no explicit formula for the covariance matrix of the estimator. In this paper, we propose an online bootstrap procedure for the estimation of confidence intervals, which, upon the arrival of each observation, updates the SGD estimate as well as a number of randomly perturbed SGD estimates. The proposed method is easy to implement in practice. We establish its theoretical properties for a general class of models that includes linear regressions, generalized linear models, M-estimators and quantile regressions as special cases. The finite-sample performance and numerical utility is evaluated by simulation studies and real data applications.""
",
10/1,Chandler Squires (CMU),Sample complexity of causal effect estimation with discrete covariates,"Accurate estimates of causal effects play a key role in decision-making across applications such as healthcare, economics, and operations. In the absence of randomized experiments, a common approach to identifying causal effects uses covariate adjustment on a set of random variables. In this talk, I will discuss causal effect estimation via covariate adjustment in discrete distributions, focusing on finite-sample guarantees and the interplay between structure learning and causal effect estimation. To begin, I will present a new PAC bound on the worst case estimation error of covariate adjustment, which is exponential in the size of the adjustment set. Motivated by this result, I will present two constraint-based algorithms to search for smaller adjustment sets, PAC guarantees on these algorithms, and bounds on the misspecification error from violations of these constraints, which are combined into a full sample complexity analysis of the algorithms.",
10/11 (Friday) - NSH 4305 ,Kai Zhang (UNC) ,BET and BELIEF,"We study the problem of distribution-free dependence detection and modeling through the new framework of binary expansion statistics (BEStat). The binary expansion testing (BET) avoids the problem of non-uniform consistency and improves upon a wide class of commonly used methods (a) by achieving the minimax rate in sample size requirement for reliable power and (b) by providing clear interpretations of global relationships upon rejection of independence. The binary expansion approach also connects the symmetry statistics with the current computing system to facilitate efficient bitwise implementation. Modeling with the binary expansion linear effect (BELIEF) is motivated by the fact that two linearly uncorrelated binary variables must be also independent. Inferences from BELIEF are easily interpretable because they describe the association of binary variables in the language of linear models, yielding convenient theoretical insight and striking parallels with the Gaussian world. With BELIEF, one may study generalized linear models (GLM) through transparent linear models, providing insight into how modeling is affected by the choice of link. We explore these phenomena and provide a host of related theoretical results. This is joint work with Benjamin Brown and Xiao-Li Meng.",
10/15,NO MEETING -- FALL BREAK,,,
10/22,Michael Wieck-Sosa,Conditional Independence Testing for High-dimensional Nonstationary Nonlinear Time Series,"We introduce a framework for testing conditional independence relationships between time
series that are possibly high-dimensional, nonstationary, and nonlinear. As far as we know, this is
the first conditional independence test that can be used with a single realization of a nonstationary
nonlinear time series (X, Y, Z). Consider the setting in which X and Y are univariate time series,
and Z is a multivariate time series. Our test has two key steps. First, regress X on Z, and Y on Z
using black-box time-varying nonlinear regression estimators. Notably, we allow the error processes
to be temporally dependent and nonstationary. Second, estimate the time-varying variances of
the process of error products based on the process of residual products. Using these estimates of
the time-varying variances, we can approximate the desired quantile of our test statistic using a
bootstrap procedure based on a distribution-uniform version of the strong Gaussian approximation
for nonstationary nonlinear time series from Mies and Steland [MS22]. We extend this testing
procedure to the high-dimensional setting, where the dimensions of the processes are allowed
to grow with the sample size. We conduct a real data analysis with nonstationary nonlinear
epidemiological time series. Specifically, we determine whether a population’s level of infectivity
contains auxiliary information about future case growth rates of COVID-19. We discuss how
to gain power with our ℓ2-type test statistic by using high-resolution data from groups of time
series, such as sensor networks in neuroscience and physics, nearby cities in epidemiology and
economics, or related price series in finance and e-commerce. Our testing framework opens the
door to many downstream statistical applications which utilize conditional independence tests. In
our companion paper [WHR24], we use our test as the basis of a causal discovery algorithm for
nonstationary nonlinear time series, which we use to study epidemiological dynamics.",
10/29,Shubhada Agrawal,Markov Chain Variance Estimation: A Stochastic Approximation Approach,"We consider the problem of estimating the asymptotic variance of a function defined on a Markov chain, an important step for statistical inference of the stationary mean. We design a novel recursive estimator that requires O(1) computation at each step, does not require storing any historical samples or any prior knowledge of run-length, and has optimal O(1n) rate of convergence for the mean-squared error (MSE) with provable finite sample guarantees. Here, n refers to the total number of samples generated. Our estimator is based on linear stochastic approximation of an equivalent formulation of the asymptotic variance in terms of the solution of the Poisson equation.
We generalize our estimator in several directions, including estimating the covariance matrix for vector-valued functions, estimating the stationary variance of a Markov chain, and approximately estimating the asymptotic variance in settings where the state space of the underlying Markov chain is large. We also show applications of our estimator in average reward reinforcement learning (RL), where we work with asymptotic variance as a risk measure to model safety-critical applications. We design a temporal-difference type algorithm tailored for policy evaluation in this context. We consider both the tabular and linear function approximation settings. Our work paves the way for developing actor-critic style algorithms for variance-constrained RL. ",
11/5,Democracy Day (no meeting),NA,NA,
11/12,Diego Martinez-Tabaoda ,,,
11/19,Kenta Takatsu,,,
11/26,Hongjian Wang,Empirical Bernstein inequalities for scalars and matrices,"I'll review and discuss Hoeffding, Bennett, Bernstein, bounded difference/Efron-Stein inequalities for scalars and matrices, empirical Bernstein inequalities for scalars, and present two matrix empirical Bernstein inequalities.",
12/3,Gonzalo Mena,Statistical Properties of the rectified flow,"Transport maps are important statistical objects, chief among them the optimal transport map. A nice nonparametric theory on estimation of optimal transport maps have recently been developed, showing that estimation can be performed stlightly faster than the usual non-parametric rate, as a consequence of the smoothness property of the optimal transport. However, computational challenges prevent us from computing the optimal transport efficiently, and people have suggested the rectified flow as a cheaper surrogate. This estimator can be estimated via non-parametric regression. In this talk I will introduce the rectified transport framework and discuss its smoothness properties in bounded and unbounded domains. Based on that I will comment on a bias and variance analysis of the associated non-parametric estimator. This also enjoys benefits over the usual kernel regression estimator",
,,,,
,,,,
,,,,
,,,,
,,,,
"Schedule (Spring 2024)

Fridays at 3–4:30PM in GHC 8102",,,,
Date,Speaker,Paper title,Abstract,
01/19,Aaditya Ramdas (joint SMLRG+AI-SDM seminar in NSH 4305 from 3–4pm),Merging Uncertainty Sets Via Majority Vote,"Given K uncertainty sets that are arbitrarily dependent --- for example, confidence intervals for an unknown parameter obtained with K different estimators, or prediction sets obtained via conformal prediction based on K different algorithms --- we address the question of how to efficiently combine them in a black-box manner to produce a single uncertainty set. We present a simple and broadly applicable majority vote procedure that produces a merged set with (nearly) the same error guarantee as the input sets. We then extend this core idea in a few ways: we show that weighted averaging can be a powerful way to incorporate prior information, and a simple randomization trick produces strictly smaller merged sets (without altering the coverage guarantee). Finally, when deployed in online settings, we show how the exponential weighted majority algorithm can be employed in order to learn a good weighting over time.",
01/26,Zijian Guo (faculty visitor from Rutgers),"Domain Generalization with Adversarially Robust Learning: Identification, Estimation, and Uncertainty Quantification","Empirical risk minimization may lead to poor prediction performance when the target distribution differs from the source populations. This talk discusses leveraging data from multiple sources and constructing more generalizable and transportable prediction models. We introduce an adversarially robust prediction model to optimize a worst-case reward concerning a class of target distributions and show that our introduced model is a weighted average of the source populations' conditional outcome models. We leverage this identification result to robustify arbitrary machine learning algorithms, including, for example, high-dimensional regression, random forests, and neural networks.  
 
In our adversarial learning framework, we propose a novel sampling method to quantify the uncertainty of the adversarial robust prediction model. Moreover, we introduce guided adversarially robust transfer learning (GART) that uses a small amount of target domain data to guide adversarial learning. We show that GART achieves a faster convergence rate than the model fitted with the target data. Our comprehensive simulation studies suggest that GART can substantially outperform existing transfer learning methods, attaining higher robustness and accuracy.",
02/02,Selina Carter,Statistical inference for model parameters in stochastic gradient descent,"The main paper by Chen et al (2021) is here: https://arxiv.org/abs/1610.08637
Usually when we think of gradient descent algorithms, we seek an estimator for the ""true parameter theta"" that minimizes the loss function for the population.  Often (especially for maching learning applications) we are satisfied with a point estimate with convergence guarantees. But can we use SGD to produce a confidence interval for theta? Yes.
The idea is the following: ""Averaged SGD"" (ASGD), also known as Polyak-Ruppert averaging, is known to have desirable asymptotic properties (Polyak-Juditsky1992): not only does it converge to the population minimizing parameter under a convex objective function (with some key assumptions), it also has an asymptotic normal distribution. However, this result isn't useful for inference unless we can also estimate the asymptotic variance in an online fashion. Chen et al (2021) come up with 2 methods to do so.

I will cover the following background:
(1) GD vs SGD vs ASGD
(2) martingales and the martingale CLT
(3) the main proof (sketch) of the Polyak-Juditsky 1992 asymptotic normality result for ASGD
(4) Chen et al's (2021) estimators for conducting inference via ASGD
(5) If we have time, other useful notes on finite sample inference via ASGD",
02/09,Arun Kuchibhotla,A 'robust' framework for statistical inference,"Confidence intervals (and hypothesis tests) are fundamental components of statistical analysis, integral to any rigorous scientific study. The traditional framework for constructing confidence intervals for a functional/parameter $\theta_0$ starts with an estimator, denoted as $\widehat{\theta}_n$, possessing a known rate of convergence and an estimable limiting distribution. Resampling techniques, such as bootstrap and subsampling, have been introduced to relax the assumption of a known convergence rate and to provide estimates of limiting distributions.

However, there are still scenarios that elude analysis through resampling techniques. In this presentation, I propose a robust framework for statistical inference, with 'robust' being interpreted as resilient to distributional assumptions. The recently introduced HulC methodology can be viewed as a special case within this framework. Despite a slight loss in efficiency, this proposed framework can offer elegant solutions to a variety of complex inference problems, including confidence intervals for online algorithms, cube-root estimators, shape-constrained estimators, non-/semi-parametric estimators, and non-standard regression problems.

The foundation of this talk rests on concepts developed in my recent works, namely, 'The HulC: Confidence Regions from Convex Hulls (2023+, JRSS-B)' and 'Median Regularity and Honest Inference (2023, Biometrika).'",
02/16,Jamie Michelson,Performative Prediction: A New Approach to Social Science?,"In the past decade major advances have been made in machine learning and statistics
by explicitly modeling the feedback loop between a model or algorithm and its outcome. Despite
this growing body of work (variously called ‘performative prediction’ or ‘strategic classification’),
these ideas have been slow to reach applied social science. Yet, paradoxically, social scientists
and philosophers of science have been grappling with the same ideas for over a century.
This talk aims to give an overview of performative prediction from the perspective of the social
sciences and philosophy of science. The goals of this talk are twofold. First, to summarize the
developments of neighboring scientific disciplines for statisticians and computer scientists so
they can better understand the historical importance of these questions. Second, to argue that
while there are two distinct approaches to performative prediction, only one represents a
revolutionary new paradigm in modeling social phenomena.
No prior knowledge of the social sciences or philosophy of science is assumed. Two major
works in this area—“Performative Prediction” (Perdomo et al. 2020) and “Strategic
Classification” (Hardt et al. 2016)—will loosely serve as the technical foundation for the talk.",
02/23,Kevin Han Huang,Distributions of approximately polynomial functions of high-dimensional data,"Consider the problem of approximating the distribution of a polynomial of $n$ independent data points in $\R^d$, where $d$ may grow as an arbitrary function of $n$. The first part of the talk focuses on a COLT’23 paper (https://arxiv.org/abs/2302.05686), where we consider the special case of degree-two U-statistics in the context of kernel-based distribution tests. We prove that the limiting distribution of the U-statistics undergoes a phase transition from the non-degenerate Gaussian limit to the degenerate limit, regardless of its degeneracy and depending only on a moment ratio. A surprising consequence is that a non-degenerate U-statistic in high dimensions can have a non-Gaussian limit with a larger variance and asymmetric distribution. In a simple empirical setting, our results correctly predict how the test power of MMD and KSD scales with dimension d and kernel bandwidth.
In the second part of the talk, I will briefly discuss results in an unpublished work, where we generalise such findings to degree-$m$ polynomials with $m=o(log n)$. We prove a general Gaussian universality result for such polynomials by Lindeberg’s principle, which extends the invariance principle of Mossel et al. (AoM, 2010). We also prove that the bounds obtained are near-optimal.",
03/01,Simon Du (joint SMLRG+AI-SDM seminar in NSH 4305 from 3–4pm),When are Offline Multi-Agent Games Solvable?,"We study what dataset assumption permits solving offline multi-agent games. In stark contrast to the offline single-agent Markov decision process, we show that the single strategy concentration assumption is insufficient for learning the Nash equilibrium (NE) strategy in offline two-player zero-sum Markov games. On the other hand, we propose a new assumption named unilateral concentration and design a pessimism-type algorithm that is provably efficient under this assumption. We further show that the unilateral concentration assumption is necessary for learning an NE strategy and can be generalized to multi-agent general-sum games. Lastly, we consider offline congestion games and show different feedback types require qualitatively different dataset coverage conditions.",
03/08,(Spring break),,,
03/15,Ben Chugg,Active statistical inference,"Why do passive inference when you can do active inference?! I'll discuss a recent framework for active statistical inference proposed by Zrnic and Candes, which leverages predictions by a black-box model to help decide which observations should be labelled. If time allows, I'll relate this work to prediction-powered inference.  Main paper: https://arxiv.org/pdf/2403.03208.pdf. ",
03/22,Ian Waudby-Smith,Distribution-uniform strong laws of large numbers,"We revisit the question of whether the strong law of large numbers (SLLN) holds uniformly in a rich family of distributions, culminating in a distribution-uniform generalization of the Marcinkiewicz-Zygmund SLLN. These results can be viewed as extensions of Chung's distribution-uniform SLLN to random variables with uniformly integrable $q^\text{th}$ absolute central moments for $0 < q < 2;\ q \neq 1$. Furthermore, we show that uniform integrability of the $q^\text{th}$ moment is both sufficient and necessary for the SLLN to hold uniformly at the Marcinkiewicz-Zygmund rate of $n^{1/q - 1}$. These proofs centrally rely on novel distribution-uniform analogues of some familiar almost sure convergence results including the Khintchine-Kolmogorov convergence theorem, Kolmogorov's three-series theorem, a stochastic generalization of Kronecker's lemma, and the Borel-Cantelli lemmas. We also consider the non-identically distributed case and an application to strongly consistent variance estimation.",
03/29,Siva Balakrishnan,Model Selection Aggregation,"A classical question in statistics and in online learning, is that of model selection: given a collection of predictors, produce one which is as good as the best predictor (upto a small additive error). Variants of this basic primitive have many ""applications"" in theory, often yielding surprising results in new contexts. 
I will discuss, at a high-level, some old ideas and results in model selection aggregation, and work towards an analysis of Q-aggregation.

Most of the ideas of the analysis follow from old papers -- https://arxiv.org/abs/1203.2507 and https://arxiv.org/pdf/1301.6080.pdf

Some newer papers (which I won't cover) provide a new perspective and some fresh motivation -- https://arxiv.org/pdf/1803.09349.pdf and https://arxiv.org/pdf/2102.12919.pdf",
